State_Pair,State1,State2,Total_Passengers
Colorado-Kansas,Colorado,Kansas,43300
Maryland-Oregon,Maryland,Oregon,43220
Iowa-North Carolina,Iowa,North Carolina,43050
Indiana-South Carolina,Indiana,South Carolina,42950
California-Maine,California,Maine,42570
Maine-New Jersey,Maine,New Jersey,42480
New Hampshire-Pennsylvania,New Hampshire,Pennsylvania,42470
Alabama-Nevada,Alabama,Nevada,42020
Maryland-Oklahoma,Maryland,Oklahoma,41700
Arkansas-Colorado,Arkansas,Colorado,41110
Oklahoma-Pennsylvania,Oklahoma,Pennsylvania,40980
Tennessee-Wisconsin,Tennessee,Wisconsin,40960
Iowa-New York,Iowa,New York,40430
Arizona-Connecticut,Arizona,Connecticut,40400
Alabama-Maryland,Alabama,Maryland,40240
Mississippi-North Carolina,Mississippi,North Carolina,40220
Illinois-North Dakota,Illinois,North Dakota,40160
Nebraska-North Carolina,Nebraska,North Carolina,40130
Idaho-Minnesota,Idaho,Minnesota,39720
Iowa-Michigan,Iowa,Michigan,39590
Florida-Montana,Florida,Montana,39140
Nebraska-New York,Nebraska,New York,38480
Nevada-South Carolina,Nevada,South Carolina,38460
Michigan-Oklahoma,Michigan,Oklahoma,38180
Louisiana-Oklahoma,Louisiana,Oklahoma,37750
New Mexico-Oregon,New Mexico,Oregon,37720
Oregon-Wisconsin,Oregon,Wisconsin,37530
Idaho-Illinois,Idaho,Illinois,37510
Alabama-Michigan,Alabama,Michigan,37350
Louisiana-Oregon,Louisiana,Oregon,37090
Virginia-Wisconsin,Virginia,Wisconsin,36830
Oklahoma-Virginia,Oklahoma,Virginia,36830
Connecticut-Ohio,Connecticut,Ohio,36580
Missouri-New Mexico,Missouri,New Mexico,36430
California-Mississippi,California,Mississippi,36150
Illinois-Vermont,Illinois,Vermont,35800
Utah-Wyoming,Utah,Wyoming,35550
Oklahoma-Utah,Oklahoma,Utah,35230
Rhode Island-Virginia,Rhode Island,Virginia,35160
Illinois-Montana,Illinois,Montana,35060
Alabama-Virginia,Alabama,Virginia,35050
Illinois-Maine,Illinois,Maine,35000
Louisiana-Utah,Louisiana,Utah,34820
Arkansas-Missouri,Arkansas,Missouri,34610
Michigan-Nebraska,Michigan,Nebraska,34590
New Mexico-Utah,New Mexico,Utah,34590
Florida-Mississippi,Florida,Mississippi,34570
