"State_Pair","State1","State2","Country1","Country2","Total_Passengers","Number_of_Routes"
"Arizona-Jalisco","Arizona","Jalisco","United States","Mexico",255684,7
"Guanajuato-Nuevo León","Guanajuato","Nuevo León","Mexico","Mexico",255593,4
"Nuevo León-Sinaloa","Nuevo León","Sinaloa","Mexico","Mexico",248936,7
"Baja California-Nuevo León","Baja California","Nuevo León","Mexico","Mexico",246541,4
"Durango-Mexico City","Durango","Mexico City","Mexico","Mexico",236920,2
"Mexico City-Ontario","Mexico City","Ontario","Mexico","Canada",228459,4
"Jalisco-Sinaloa","Jalisco","Sinaloa","Mexico","Mexico",227726,9
"New Hampshire-Quintana Roo","New Hampshire","Quintana Roo","United States","Mexico",226696,4
"Alberta-Jalisco","Alberta","Jalisco","Canada","Mexico",223006,8
"Michigan-Quintana Roo","Michigan","Quintana Roo","United States","Mexico",222896,10
"Nuevo León-Sonora","Nuevo León","Sonora","Mexico","Mexico",220963,5
"Quintana Roo-Veracruz","Quintana Roo","Veracruz","Mexico","Mexico",209079,2
"District of Columbia-Quintana Roo","District of Columbia","Quintana Roo","United States","Mexico",207833,4
"Colorado-Jalisco","Colorado","Jalisco","United States","Mexico",206749,6
"Nuevo León-Querétaro","Nuevo León","Querétaro","Mexico","Mexico",205397,4
"Jalisco-Nevada","Jalisco","Nevada","Mexico","United States",203027,6
"Nuevo León-State of Mexico","Nuevo León","State of Mexico","Mexico","Mexico",199921,4
"Nuevo León-Veracruz","Nuevo León","Veracruz","Mexico","Mexico",198660,2
"Baja California-Sonora","Baja California","Sonora","Mexico","Mexico",194872,9
"Maryland-Quintana Roo","Maryland","Quintana Roo","United States","Mexico",188237,4
"Baja California Sur-Jalisco","Baja California Sur","Jalisco","Mexico","Mexico",186540,5
"Querétaro-Texas","Querétaro","Texas","Mexico","United States",184976,10
"Georgia-Jalisco","Georgia","Jalisco","United States","Mexico",184748,4
"Nuevo León-Yucatán","Nuevo León","Yucatán","Mexico","Mexico",183561,3
"California-Guanajuato","California","Guanajuato","United States","Mexico",181922,6
"British Columbia-Quintana Roo","British Columbia","Quintana Roo","Canada","Mexico",175356,12
"Colima-Mexico City","Colima","Mexico City","Mexico","Mexico",166504,8
"British Columbia-Mexico City","British Columbia","Mexico City","Canada","Mexico",165886,5
"British Columbia-Jalisco","British Columbia","Jalisco","Canada","Mexico",160591,18
"Mexico City-Zacatecas","Mexico City","Zacatecas","Mexico","Mexico",155394,3
"Missouri-Quintana Roo","Missouri","Quintana Roo","United States","Mexico",154098,6
"District of Columbia-Mexico City","District of Columbia","Mexico City","United States","Mexico",153298,2
"Nuevo León-Tamaulipas","Nuevo León","Tamaulipas","Mexico","Mexico",152292,7
"Aguascalientes-Baja California","Aguascalientes","Baja California","Mexico","Mexico",150504,2
"Mexico City-New Jersey","Mexico City","New Jersey","Mexico","United States",149430,2
"Arizona-Quintana Roo","Arizona","Quintana Roo","United States","Mexico",147265,2
"Nuevo León-Tabasco","Nuevo León","Tabasco","Mexico","Mexico",129400,3
"Georgia-Nuevo León","Georgia","Nuevo León","United States","Mexico",128652,3
"Jalisco-State of Mexico","Jalisco","State of Mexico","Mexico","Mexico",127380,7
"Jalisco-Veracruz","Jalisco","Veracruz","Mexico","Mexico",124617,5
"California-Michoacán","California","Michoacán","United States","Mexico",124186,6
"Jalisco-Yucatán","Jalisco","Yucatán","Mexico","Mexico",120697,3
"Baja California-Baja California Sur","Baja California","Baja California Sur","Mexico","Mexico",120207,4
"Baja California Sur-Sinaloa","Baja California Sur","Sinaloa","Mexico","Mexico",119900,9
"Quintana Roo-State of Mexico","Quintana Roo","State of Mexico","Mexico","Mexico",118911,5
"Mexico City-Michoacán","Mexico City","Michoacán","Mexico","Mexico",115066,5
"Mexico City-Quebec","Mexico City","Quebec","Mexico","Canada",114552,4
"Nuevo León-Puebla","Nuevo León","Puebla","Mexico","Mexico",114488,4
"Quintana Roo-Tamaulipas","Quintana Roo","Tamaulipas","Mexico","Mexico",114409,4
"Guanajuato-Quintana Roo","Guanajuato","Quintana Roo","Mexico","Mexico",113118,3
"San Luis Potosí-Texas","San Luis Potosí","Texas","Mexico","United States",111687,9
"Puebla-Quintana Roo","Puebla","Quintana Roo","Mexico","Mexico",109967,2
"Jalisco-Ontario","Jalisco","Ontario","Mexico","Canada",108424,9
"Arizona-Mexico City","Arizona","Mexico City","United States","Mexico",104802,3
"Chiapas-Nuevo León","Chiapas","Nuevo León","Mexico","Mexico",103338,6
"Chiapas-Quintana Roo","Chiapas","Quintana Roo","Mexico","Mexico",101768,3
"Massachusetts-Quintana Roo","Massachusetts","Quintana Roo","United States","Mexico",100943,4
"Baja California-Chihuahua","Baja California","Chihuahua","Mexico","Mexico",99978,6
"Ohio-Quintana Roo","Ohio","Quintana Roo","United States","Mexico",98010,9
"Jalisco-Washington","Jalisco","Washington","Mexico","United States",94666,4
"Chiapas-Jalisco","Chiapas","Jalisco","Mexico","Mexico",94433,6
"Jalisco-Tabasco","Jalisco","Tabasco","Mexico","Mexico",93284,2
"Illinois-Nuevo León","Illinois","Nuevo León","United States","Mexico",93042,3
"Illinois-Michoacán","Illinois","Michoacán","United States","Mexico",88949,2
"Mexico City-Michigan","Mexico City","Michigan","Mexico","United States",87761,2
"Jalisco-Tamaulipas","Jalisco","Tamaulipas","Mexico","Mexico",87365,7
"Quintana Roo-Utah","Quintana Roo","Utah","Mexico","United States",85760,2
"Nevada-Nuevo León","Nevada","Nuevo León","United States","Mexico",85740,4
"Tamaulipas-Veracruz","Tamaulipas","Veracruz","Mexico","Mexico",85159,6
"Mexico City-Querétaro","Mexico City","Querétaro","Mexico","Mexico",83253,4
"Aguascalientes-Texas","Aguascalientes","Texas","Mexico","United States",82238,7
"Jalisco-Minnesota","Jalisco","Minnesota","Mexico","United States",80609,2
"Baja California-Oaxaca","Baja California","Oaxaca","Mexico","Mexico",79861,2
"Quintana Roo-Tabasco","Quintana Roo","Tabasco","Mexico","Mexico",76617,4
"Mexico City-Utah","Mexico City","Utah","Mexico","United States",75662,2
"Baja California-Nayarit","Baja California","Nayarit","Mexico","Mexico",74869,2
"Baja California-Durango","Baja California","Durango","Mexico","Mexico",74501,2
"Arizona-Sinaloa","Arizona","Sinaloa","United States","Mexico",73512,8
"California-Guerrero","California","Guerrero","United States","Mexico",73126,9
"Chihuahua-Texas","Chihuahua","Texas","Mexico","United States",72097,11
"Texas-Yucatán","Texas","Yucatán","United States","Mexico",70724,4
"Querétaro-Quintana Roo","Querétaro","Quintana Roo","Mexico","Mexico",69803,5
"Baja California-Puebla","Baja California","Puebla","Mexico","Mexico",68909,2
"Baja California-Zacatecas","Baja California","Zacatecas","Mexico","Mexico",68696,2
"Jalisco-Oregon","Jalisco","Oregon","Mexico","United States",67182,4
"Baja California-Colima","Baja California","Colima","Mexico","Mexico",66780,2
"Florida-Jalisco","Florida","Jalisco","United States","Mexico",65619,6
"Baja California-Guerrero","Baja California","Guerrero","Mexico","Mexico",65362,2
"Massachusetts-Mexico City","Massachusetts","Mexico City","United States","Mexico",61690,2
"Colorado-Mexico City","Colorado","Mexico City","United States","Mexico",61107,2
"Nuevo León-Oaxaca","Nuevo León","Oaxaca","Mexico","Mexico",59810,4
"California-Sinaloa","California","Sinaloa","United States","Mexico",59426,4
"Guerrero-Nuevo León","Guerrero","Nuevo León","Mexico","Mexico",59344,6
"Mexico City-North Carolina","Mexico City","North Carolina","Mexico","United States",58764,3
"Chihuahua-Sonora","Chihuahua","Sonora","Mexico","Mexico",56589,8
"Manitoba-Quintana Roo","Manitoba","Quintana Roo","Canada","Mexico",55782,4
"Baja California Sur-Sonora","Baja California Sur","Sonora","Mexico","Mexico",55701,4
"Jalisco-Utah","Jalisco","Utah","Mexico","United States",54404,4
"Jalisco-New York","Jalisco","New York","Mexico","United States",53970,4
"New York-Nuevo León","New York","Nuevo León","United States","Mexico",53830,2
"California-Zacatecas","California","Zacatecas","United States","Mexico",53456,2
"Quintana Roo-Washington","Quintana Roo","Washington","Mexico","United States",53151,2
"Michoacán-Texas","Michoacán","Texas","Mexico","United States",52879,4
"Quintana Roo-Saskatchewan","Quintana Roo","Saskatchewan","Mexico","Canada",52368,8
"Coahuila-Jalisco","Coahuila","Jalisco","Mexico","Mexico",49976,7
"Puebla-Texas","Puebla","Texas","Mexico","United States",49168,7
"Quintana Roo-Wisconsin","Quintana Roo","Wisconsin","Mexico","United States",48220,7
"Tabasco-Yucatán","Tabasco","Yucatán","Mexico","Mexico",47963,4
"Aguascalientes-California","Aguascalientes","California","Mexico","United States",47894,2
"Georgia-Guanajuato","Georgia","Guanajuato","United States","Mexico",46793,2
"Aguascalientes-Quintana Roo","Aguascalientes","Quintana Roo","Mexico","Mexico",44571,4
"Jalisco-Quebec","Jalisco","Quebec","Mexico","Canada",44333,6
"Mexico City-Nayarit","Mexico City","Nayarit","Mexico","Mexico",44232,4
"Quintana Roo-San Luis Potosí","Quintana Roo","San Luis Potosí","Mexico","Mexico",44198,4
"Baja California Sur-California","Baja California Sur","California","Mexico","United States",43549,5
"Sinaloa-Sonora","Sinaloa","Sonora","Mexico","Mexico",43446,12
"Baja California-Querétaro","Baja California","Querétaro","Mexico","Mexico",42553,3
"Illinois-Zacatecas","Illinois","Zacatecas","United States","Mexico",42283,3
"Texas-Veracruz","Texas","Veracruz","United States","Mexico",40639,4
"Jalisco-Saskatchewan","Jalisco","Saskatchewan","Mexico","Canada",38636,8
"Guerrero-Texas","Guerrero","Texas","Mexico","United States",38029,6
"Jalisco-Manitoba","Jalisco","Manitoba","Mexico","Canada",37496,4
"Coahuila-Texas","Coahuila","Texas","Mexico","United States",36920,14
"Alberta-Sinaloa","Alberta","Sinaloa","Canada","Mexico",36319,4
"Florida-Yucatán","Florida","Yucatán","United States","Mexico",36070,5
"Tabasco-Veracruz","Tabasco","Veracruz","Mexico","Mexico",35419,5
"Jalisco-New Jersey","Jalisco","New Jersey","Mexico","United States",34864,2
"Nuevo León-San Luis Potosí","Nuevo León","San Luis Potosí","Mexico","Mexico",33561,4
"Chihuahua-Sinaloa","Chihuahua","Sinaloa","Mexico","Mexico",33208,12
"California-Colima","California","Colima","United States","Mexico",33080,2
"Guerrero-State of Mexico","Guerrero","State of Mexico","Mexico","Mexico",32874,6
"Guanajuato-Illinois","Guanajuato","Illinois","Mexico","United States",32231,2
"Chihuahua-Guanajuato","Chihuahua","Guanajuato","Mexico","Mexico",32228,6
"Nova Scotia-Quintana Roo","Nova Scotia","Quintana Roo","Canada","Mexico",31947,4
"Kentucky-Quintana Roo","Kentucky","Quintana Roo","United States","Mexico",31833,4
"Chihuahua-Coahuila","Chihuahua","Coahuila","Mexico","Mexico",30987,16
"Arizona-Sonora","Arizona","Sonora","United States","Mexico",30720,7
"Oaxaca-Ontario","Oaxaca","Ontario","Mexico","Canada",30717,4
"Jalisco-New Hampshire","Jalisco","New Hampshire","Mexico","United States",30190,4
"Tabasco-Tamaulipas","Tabasco","Tamaulipas","Mexico","Mexico",30143,4
