"State_Pair","State1","State2","Country1","Country2","Total_Passengers"
"Tabasco-Texas","Tabasco","Texas","Mexico","United States",42586
"Veracruz-Yucatán","Veracruz de Ignacio de la Llave","Yucatan","Mexico","Mexico",20885
"Baja California-Quintana Roo","Baja California","Quintana Roo","Mexico","Mexico",20829
"Guerrero-Minnesota","Guerrero","Minnesota","Mexico","United States",41294
"New Brunswick-Quintana Roo","New Brunswick","Quintana Roo","Canada","Mexico",40196
"Nayarit-State of Mexico","Nayarit","Estado de Mexico","Mexico","Mexico",19478
"Baja California-California","Baja California","California","Mexico","United States",37820
"Jalisco-Puebla","Jalisco","Puebla","Mexico","Mexico",18846
"Aguascalientes-Nuevo León","Aguascalientes","Nuevo Leon","Mexico","Mexico",18803
"Chiapas-Yucatán","Chiapas","Yucatan","Mexico","Mexico",18075
"Alberta-Colima","Alberta","Colima","Canada","Mexico",32182
"Indiana-Quintana Roo","Indiana","Quintana Roo","United States","Mexico",31614
"British Columbia-Sinaloa","British Columbia","Sinaloa","Canada","Mexico",30676
"Louisiana-Quintana Roo","Louisiana","Quintana Roo","United States","Mexico",29778
"Baja California-San Luis Potosí","Baja California","San Luis Potosi","Mexico","Mexico",14364
"Guerrero-Ontario","Guerrero","Ontario","Mexico","Canada",28316
"Chihuahua-Colorado","Chihuahua","Colorado","Mexico","United States",27898
"Aguascalientes-Jalisco","Aguascalientes","Jalisco","Mexico","Mexico",13678
"Campeche-Tamaulipas","Campeche","Tamaulipas","Mexico","Mexico",13532
"Florida-Nuevo León","Florida","Nuevo Leon","United States","Mexico",26554
"Colima-State of Mexico","Colima","Estado de Mexico","Mexico","Mexico",12580
"Arizona-Guerrero","Arizona","Guerrero","United States","Mexico",24686
"Guerrero-Quebec","Guerrero","Quebec","Mexico","Canada",24496
"Morelos-Nuevo León","Morelos","Nuevo Leon","Mexico","Mexico",11893
"Chiapas-State of Mexico","Chiapas","Estado de Mexico","Mexico","Mexico",11594
"Texas-Zacatecas","Texas","Zacatecas","United States","Mexico",23094
"British Columbia-Oaxaca","British Columbia","Oaxaca","Canada","Mexico",21850
"Jalisco-Morelos","Jalisco","Morelos","Mexico","Mexico",10772
"California-Durango","California","Durango","United States","Mexico",20988
"Campeche-Texas","Campeche","Texas","Mexico","United States",20912
"Michigan-Nuevo León","Michigan","Nuevo Leon","United States","Mexico",19836
"Oaxaca-State of Mexico","Oaxaca","Estado de Mexico","Mexico","Mexico",9420
"Connecticut-Quintana Roo","Connecticut","Quintana Roo","United States","Mexico",18078
"Oaxaca-Saskatchewan","Oaxaca","Saskatchewan","Mexico","Canada",17956
"Alberta-Baja California Sur","Alberta","Baja California Sur","Canada","Mexico",16852
"State of Mexico-Veracruz","Estado de Mexico","Veracruz de Ignacio de la Llave","Mexico","Mexico",7759
"Ontario-Sinaloa","Ontario","Sinaloa","Canada","Mexico",15436
"Guerrero-Jalisco","Guerrero","Jalisco","Mexico","Mexico",7660
"Guerrero-Saskatchewan","Guerrero","Saskatchewan","Mexico","Canada",15294
"Jalisco-Wisconsin","Jalisco","Wisconsin","Mexico","United States",15226
"Jalisco-San Luis Potosí","Jalisco","San Luis Potosi","Mexico","Mexico",7557
"Guerrero-Illinois","Guerrero","Illinois","Mexico","United States",14526
"Guerrero-Querétaro","Guerrero","Queretaro","Mexico","Mexico",7213
"Coahuila-Nuevo León","Coahuila de Zaragoza","Nuevo Leon","Mexico","Mexico",6735
"Ontario-Yucatán","Ontario","Yucatan","Canada","Mexico",12126
"Baja California Sur-Nuevo León","Baja California Sur","Nuevo Leon","Mexico","Mexico",5858
"Colima-Texas","Colima","Texas","Mexico","United States",10942
"Coahuila-Guanajuato","Coahuila de Zaragoza","Guanajuato","Mexico","Mexico",5424
"Guerrero-Manitoba","Guerrero","Manitoba","Mexico","Canada",10802
"Nevada-State of Mexico","Nevada","Estado de Mexico","United States","Mexico",10802
"Manitoba-Oaxaca","Manitoba","Oaxaca","Canada","Mexico",10312
"Colima-Ontario","Colima","Ontario","Mexico","Canada",10050
"Illinois-Oaxaca","Illinois","Oaxaca","United States","Mexico",9752
"British Columbia-Colima","British Columbia","Colima","Canada","Mexico",8736
"British Columbia-Guerrero","British Columbia","Guerrero","Canada","Mexico",8690
