"State_Pair","State1","State2","Country1","Country2","Total_Passengers"
"Alberta-Tennessee","Alberta","Tennessee","Canada","United States",43704
"Alberta-Texas","Alberta","Texas","Canada","United States",570876
"Alberta-Utah","Alberta","Utah","Canada","United States",54280
"Alberta-Washington","Alberta","Washington","Canada","United States",255880
"Alberta-Wisconsin","Alberta","Wisconsin","Canada","United States",8720
"Arizona-British Columbia","Arizona","British Columbia","United States","Canada",324768
"Arizona-Manitoba","Arizona","Manitoba","United States","Canada",91232
"Arizona-Ontario","Arizona","Ontario","United States","Canada",325632
"Arizona-Quebec","Arizona","Quebec","United States","Canada",9432
"Arizona-Saskatchewan","Arizona","Saskatchewan","United States","Canada",116416
"Arkansas-Ontario","Arkansas","Ontario","United States","Canada",26880
"British Columbia-Arizona","British Columbia","Arizona","Canada","United States",39348
"British Columbia-California","British Columbia","California","Canada","United States",101214
"British Columbia-District of Columbia","British Columbia","District of Columbia","Canada","United States",158220
"British Columbia-Florida","British Columbia","Florida","Canada","United States",22736
"British Columbia-Nevada","British Columbia","Nevada","Canada","United States",88516
"British Columbia-New York","British Columbia","New York","Canada","United States",16086
"British Columbia-Oregon","British Columbia","Oregon","Canada","United States",8360
"British Columbia-Washington","British Columbia","Washington","Canada","United States",25100
"California-British Columbia","California","British Columbia","United States","Canada",3115402
"California-Manitoba","California","Manitoba","United States","Canada",165856
"California-Newfoundland and Labrador","California","Newfoundland and Labrador","United States","Canada",8792
"California-Ontario","California","Ontario","United States","Canada",2410516
"California-Quebec","California","Quebec","United States","Canada",408186
"California-Saskatchewan","California","Saskatchewan","United States","Canada",127408
"Colorado-Alberta","Colorado","Alberta","United States","Canada",40540
"Colorado-British Columbia","Colorado","British Columbia","United States","Canada",152760
"Colorado-Manitoba","Colorado","Manitoba","United States","Canada",22540
"Colorado-Nova Scotia","Colorado","Nova Scotia","United States","Canada",12440
"Colorado-Ontario","Colorado","Ontario","United States","Canada",208380
"Colorado-Quebec","Colorado","Quebec","United States","Canada",85000
"Colorado-Saskatchewan","Colorado","Saskatchewan","United States","Canada",7780
"Connecticut-British Columbia","Connecticut","British Columbia","United States","Canada",20120
"Connecticut-Ontario","Connecticut","Ontario","United States","Canada",37140
"District of Columbia-Manitoba","District of Columbia","Manitoba","United States","Canada",26540
"Florida-British Columbia","Florida","British Columbia","United States","Canada",432086
"Florida-Manitoba","Florida","Manitoba","United States","Canada",152852
"Florida-New Brunswick","Florida","New Brunswick","United States","Canada",20290
"Florida-Newfoundland and Labrador","Florida","Newfoundland and Labrador","United States","Canada",116426
"Florida-Nova Scotia","Florida","Nova Scotia","United States","Canada",53366
"Florida-Ontario","Florida","Ontario","United States","Canada",3673740
"Florida-Quebec","Florida","Quebec","United States","Canada",1324116
"Florida-Saskatchewan","Florida","Saskatchewan","United States","Canada",50452
"Georgia-Alberta","Georgia","Alberta","United States","Canada",56060
"Georgia-British Columbia","Georgia","British Columbia","United States","Canada",88000
"Georgia-Manitoba","Georgia","Manitoba","United States","Canada",16320
"Georgia-Nova Scotia","Georgia","Nova Scotia","United States","Canada",14500
"Georgia-Ontario","Georgia","Ontario","United States","Canada",452520
"Georgia-Quebec","Georgia","Quebec","United States","Canada",165800
"Idaho-British Columbia","Idaho","British Columbia","United States","Canada",11940
"Idaho-Ontario","Idaho","Ontario","United States","Canada",9300
"Illinois-Alberta","Illinois","Alberta","United States","Canada",44008
"Illinois-British Columbia","Illinois","British Columbia","United States","Canada",245066
"Illinois-Manitoba","Illinois","Manitoba","United States","Canada",47060
"Illinois-Nova Scotia","Illinois","Nova Scotia","United States","Canada",22440
"Illinois-Ontario","Illinois","Ontario","United States","Canada",824820
"Illinois-Quebec","Illinois","Quebec","United States","Canada",306126
"Illinois-Saskatchewan","Illinois","Saskatchewan","United States","Canada",14546
"Indiana-British Columbia","Indiana","British Columbia","United States","Canada",28580
"Indiana-Ontario","Indiana","Ontario","United States","Canada",21260
"Indiana-Quebec","Indiana","Quebec","United States","Canada",31140
"Iowa-British Columbia","Iowa","British Columbia","United States","Canada",9400
"Iowa-Ontario","Iowa","Ontario","United States","Canada",25280
"Kentucky-British Columbia","Kentucky","British Columbia","United States","Canada",9420
"Kentucky-Ontario","Kentucky","Ontario","United States","Canada",29080
"Kentucky-Quebec","Kentucky","Quebec","United States","Canada",10180
"Louisiana-British Columbia","Louisiana","British Columbia","United States","Canada",40760
"Louisiana-Manitoba","Louisiana","Manitoba","United States","Canada",8280
"Louisiana-Ontario","Louisiana","Ontario","United States","Canada",117560
"Massachusetts-Alberta","Massachusetts","Alberta","United States","Canada",107484
"Massachusetts-British Columbia","Massachusetts","British Columbia","United States","Canada",169116
"Massachusetts-Manitoba","Massachusetts","Manitoba","United States","Canada",25404
"Massachusetts-Newfoundland and Labrador","Massachusetts","Newfoundland and Labrador","United States","Canada",16692
"Massachusetts-Nova Scotia","Massachusetts","Nova Scotia","United States","Canada",104010
"Massachusetts-Ontario","Massachusetts","Ontario","United States","Canada",635066
"Massachusetts-Quebec","Massachusetts","Quebec","United States","Canada",127840
"Massachusetts-Saskatchewan","Massachusetts","Saskatchewan","United States","Canada",8148
"Michigan-Alberta","Michigan","Alberta","United States","Canada",12420
"Michigan-British Columbia","Michigan","British Columbia","United States","Canada",68480
"Michigan-Manitoba","Michigan","Manitoba","United States","Canada",9720
"Michigan-Nova Scotia","Michigan","Nova Scotia","United States","Canada",8800
"Michigan-Ontario","Michigan","Ontario","United States","Canada",61980
"Michigan-Quebec","Michigan","Quebec","United States","Canada",70920
"Minnesota-British Columbia","Minnesota","British Columbia","United States","Canada",84660
"Minnesota-Manitoba","Minnesota","Manitoba","United States","Canada",26660
"Minnesota-Ontario","Minnesota","Ontario","United States","Canada",172720
"Minnesota-Quebec","Minnesota","Quebec","United States","Canada",81780
"Minnesota-Saskatchewan","Minnesota","Saskatchewan","United States","Canada",23960
"Missouri-British Columbia","Missouri","British Columbia","United States","Canada",62100
"Missouri-Manitoba","Missouri","Manitoba","United States","Canada",8960
"Missouri-Ontario","Missouri","Ontario","United States","Canada",79820
"Missouri-Quebec","Missouri","Quebec","United States","Canada",23500
"Nebraska-British Columbia","Nebraska","British Columbia","United States","Canada",12580
"Nebraska-Ontario","Nebraska","Ontario","United States","Canada",22200
"Nevada-British Columbia","Nevada","British Columbia","United States","Canada",705114
"Nevada-Manitoba","Nevada","Manitoba","United States","Canada",133052
"Nevada-New Brunswick","Nevada","New Brunswick","United States","Canada",14360
"Nevada-Newfoundland and Labrador","Nevada","Newfoundland and Labrador","United States","Canada",20528
"Nevada-Ontario","Nevada","Ontario","United States","Canada",1015520
"Nevada-Quebec","Nevada","Quebec","United States","Canada",351286
"Nevada-Saskatchewan","Nevada","Saskatchewan","United States","Canada",178454
"New Brunswick-Florida","New Brunswick","Florida","Canada","United States",51764
"New Brunswick-New York","New Brunswick","New York","Canada","United States",10530
"New Mexico-British Columbia","New Mexico","British Columbia","United States","Canada",13360
"New Mexico-Ontario","New Mexico","Ontario","United States","Canada",16920
"New Mexico-Quebec","New Mexico","Quebec","United States","Canada",8260
"New York-British Columbia","New York","British Columbia","United States","Canada",470410
"New York-Manitoba","New York","Manitoba","United States","Canada",73516
"New York-Newfoundland and Labrador","New York","Newfoundland and Labrador","United States","Canada",25550
"New York-Ontario","New York","Ontario","United States","Canada",2951796
"New York-Quebec","New York","Quebec","United States","Canada",92182
"New York-Saskatchewan","New York","Saskatchewan","United States","Canada",45450
"Newfoundland and Labrador-Florida","Newfoundland and Labrador","Florida","Canada","United States",54532
"North Carolina-Alberta","North Carolina","Alberta","United States","Canada",7960
"North Carolina-British Columbia","North Carolina","British Columbia","United States","Canada",69120
"North Carolina-Nova Scotia","North Carolina","Nova Scotia","United States","Canada",8640
"North Carolina-Ontario","North Carolina","Ontario","United States","Canada",157820
"North Carolina-Quebec","North Carolina","Quebec","United States","Canada",71840
"Nova Scotia-Arizona","Nova Scotia","Arizona","Canada","United States",14612
"Nova Scotia-California","Nova Scotia","California","Canada","United States",64840
"Nova Scotia-District of Columbia","Nova Scotia","District of Columbia","Canada","United States",29820
"Nova Scotia-Florida","Nova Scotia","Florida","Canada","United States",191376
"Nova Scotia-Louisiana","Nova Scotia","Louisiana","Canada","United States",8160
"Nova Scotia-Minnesota","Nova Scotia","Minnesota","Canada","United States",7720
"Nova Scotia-Nevada","Nova Scotia","Nevada","Canada","United States",34628
"Nova Scotia-New York","Nova Scotia","New York","Canada","United States",110702
"Nova Scotia-North Carolina","Nova Scotia","North Carolina","Canada","United States",8720
"Nova Scotia-Pennsylvania","Nova Scotia","Pennsylvania","Canada","United States",16460
"Nova Scotia-Tennessee","Nova Scotia","Tennessee","Canada","United States",10056
"Nova Scotia-Texas","Nova Scotia","Texas","Canada","United States",21118
"Nova Scotia-Washington","Nova Scotia","Washington","Canada","United States",8620
"Ohio-British Columbia","Ohio","British Columbia","United States","Canada",66500
"Ohio-Ontario","Ohio","Ontario","United States","Canada",82200
"Ohio-Quebec","Ohio","Quebec","United States","Canada",79700
"Oklahoma-British Columbia","Oklahoma","British Columbia","United States","Canada",20120
"Oklahoma-Ontario","Oklahoma","Ontario","United States","Canada",16900
"Ontario-Arizona","Ontario","Arizona","Canada","United States",55394
"Ontario-California","Ontario","California","Canada","United States",131642
"Ontario-District of Columbia","Ontario","District of Columbia","Canada","United States",491920
"Ontario-Florida","Ontario","Florida","Canada","United States",263402
"Ontario-Kansas","Ontario","Kansas","Canada","United States",12280
"Ontario-Missouri","Ontario","Missouri","Canada","United States",9540
"Ontario-New York","Ontario","New York","Canada","United States",14268
"Ontario-North Carolina","Ontario","North Carolina","Canada","United States",17520
"Ontario-Oklahoma","Ontario","Oklahoma","Canada","United States",13180
"Ontario-Oregon","Ontario","Oregon","Canada","United States",9600
"Ontario-Pennsylvania","Ontario","Pennsylvania","Canada","United States",25280
"Ontario-Washington","Ontario","Washington","Canada","United States",21740
"Oregon-British Columbia","Oregon","British Columbia","United States","Canada",148020
"Oregon-Manitoba","Oregon","Manitoba","United States","Canada",10460
"Oregon-Ontario","Oregon","Ontario","United States","Canada",83420
"Pennsylvania-British Columbia","Pennsylvania","British Columbia","United States","Canada",98320
"Pennsylvania-Manitoba","Pennsylvania","Manitoba","United States","Canada",11560
"Pennsylvania-Ontario","Pennsylvania","Ontario","United States","Canada",234200
"Pennsylvania-Quebec","Pennsylvania","Quebec","United States","Canada",12440
"Prince Edward Island-Florida","Prince Edward Island","Florida","Canada","United States",16692
"Prince Edward Island-New York","Prince Edward Island","New York","Canada","United States",10024
"Quebec-Arizona","Quebec","Arizona","Canada","United States",86442
"Quebec-California","Quebec","California","Canada","United States",444368
"Quebec-District of Columbia","Quebec","District of Columbia","Canada","United States",203640
"Quebec-Florida","Quebec","Florida","Canada","United States",518002
"Quebec-Georgia","Quebec","Georgia","Canada","United States",12520
"Quebec-Kansas","Quebec","Kansas","Canada","United States",9620
"Quebec-Louisiana","Quebec","Louisiana","Canada","United States",46100
"Quebec-Missouri","Quebec","Missouri","Canada","United States",32200
"Quebec-Nebraska","Quebec","Nebraska","Canada","United States",9540
"Quebec-New York","Quebec","New York","Canada","United States",781162
"Quebec-North Carolina","Quebec","North Carolina","Canada","United States",51980
"Quebec-Oregon","Quebec","Oregon","Canada","United States",33680
"Quebec-Pennsylvania","Quebec","Pennsylvania","Canada","United States",130340
"Quebec-Tennessee","Quebec","Tennessee","Canada","United States",37470
"Quebec-Texas","Quebec","Texas","Canada","United States",20020
"Quebec-Utah","Quebec","Utah","Canada","United States",29580
"Quebec-Virginia","Quebec","Virginia","Canada","United States",20080
"Quebec-Washington","Quebec","Washington","Canada","United States",75060
"Rhode Island-Ontario","Rhode Island","Ontario","United States","Canada",9440
"Saskatchewan-California","Saskatchewan","California","Canada","United States",10886
"Saskatchewan-District of Columbia","Saskatchewan","District of Columbia","Canada","United States",8380
"South Carolina-Ontario","South Carolina","Ontario","United States","Canada",83538
"South Carolina-Quebec","South Carolina","Quebec","United States","Canada",21980
"Tennessee-British Columbia","Tennessee","British Columbia","United States","Canada",51170
"Tennessee-Manitoba","Tennessee","Manitoba","United States","Canada",12340
"Tennessee-Ontario","Tennessee","Ontario","United States","Canada",141296
"Tennessee-Quebec","Tennessee","Quebec","United States","Canada",16480
"Tennessee-Saskatchewan","Tennessee","Saskatchewan","United States","Canada",8554
"Texas-Alberta","Texas","Alberta","United States","Canada",57716
"Texas-British Columbia","Texas","British Columbia","United States","Canada",351276
"Texas-Manitoba","Texas","Manitoba","United States","Canada",33158
"Texas-Newfoundland and Labrador","Texas","Newfoundland and Labrador","United States","Canada",19348
"Texas-Nova Scotia","Texas","Nova Scotia","United States","Canada",11688
"Texas-Ontario","Texas","Ontario","United States","Canada",793848
"Texas-Quebec","Texas","Quebec","United States","Canada",266120
"Texas-Saskatchewan","Texas","Saskatchewan","United States","Canada",22842
"Utah-British Columbia","Utah","British Columbia","United States","Canada",76940
"Utah-Ontario","Utah","Ontario","United States","Canada",85940
"Virginia-British Columbia","Virginia","British Columbia","United States","Canada",12140
"Virginia-Ontario","Virginia","Ontario","United States","Canada",29660
"Washington-British Columbia","Washington","British Columbia","United States","Canada",167920
"Washington-Manitoba","Washington","Manitoba","United States","Canada",10960
"Washington-Ontario","Washington","Ontario","United States","Canada",203460
"Wisconsin-British Columbia","Wisconsin","British Columbia","United States","Canada",26360
"Wisconsin-Ontario","Wisconsin","Ontario","United States","Canada",32740
"Wisconsin-Quebec","Wisconsin","Quebec","United States","Canada",29460
