dataset,truth_id,nick,strain,beta,seed_loc,loc_row,loc_name,country,week,week_date,truth_100k
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,45,NaT,249
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,45,NaT,218
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,45,NaT,285
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,45,NaT,440
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,45,NaT,16
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,46,NaT,200
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,46,NaT,195
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,46,NaT,226
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,46,NaT,377
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,46,NaT,14
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,47,NaT,165
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,47,NaT,150
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,47,NaT,182
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,47,NaT,293
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,47,NaT,12
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,48,NaT,138
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,48,NaT,117
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,48,NaT,156
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,48,NaT,259
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,48,NaT,10
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,49,NaT,108
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,49,NaT,92
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,49,NaT,122
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,49,NaT,199
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,49,NaT,9
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,50,NaT,85
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,50,NaT,75
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,50,NaT,93
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,50,NaT,159
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,50,NaT,8
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,51,NaT,69
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,51,NaT,56
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,51,NaT,77
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,51,NaT,127
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,51,NaT,7
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,52,NaT,55
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,52,NaT,48
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,52,NaT,56
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,52,NaT,105
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,52,NaT,5
synth,tr05,tr05_ls_GA,ls,0.8,GA,84,Texas,US,1,NaT,0
synth,tr05,tr05_ls_GA,ls,0.8,GA,10,California,US,1,NaT,0
synth,tr05,tr05_ls_GA,ls,0.8,GA,66,Ontario,CA,1,NaT,0
synth,tr05,tr05_ls_GA,ls,0.8,GA,22,Estado de Mexico,MX,1,NaT,0
synth,tr05,tr05_ls_GA,ls,0.8,GA,55,New York,US,1,NaT,0
synth,tr05,tr05_ls_GA,ls,0.8,GA,84,Texas,US,2,NaT,0
synth,tr05,tr05_ls_GA,ls,0.8,GA,10,California,US,2,NaT,0
synth,tr05,tr05_ls_GA,ls,0.8,GA,66,Ontario,CA,2,NaT,0
synth,tr05,tr05_ls_GA,ls,0.8,GA,22,Estado de Mexico,MX,2,NaT,0
