"Aguascalientes","Alabama","Alaska","Alberta","Arizona","Arkansas","Baja California","Baja California Sur","British Columbia","California","Campeche","Chiapas","Chihuahua","Coahuila de Zaragoza","Colima","Colorado","Connecticut","Delaware","District of Columbia","Distrito Federal","Durango","Estado de Mexico","Florida","Georgia","Guanajuato","Guerrero","Hawaii","Hidalgo","Idaho","Illinois","Indiana","Iowa","Jalisco","Kansas","Kentucky","Louisiana","Maine","Manitoba","Maryland","Massachusetts","Michigan","Michoacan de Ocampo","Minnesota","Mississippi","Missouri","Montana","Morelos","Nayarit","Nebraska","Nevada","New Brunswick","New Hampshire","New Jersey","New Mexico","New York","Newfoundland and Labrador","North Carolina","North Dakota","Northwest Territories","Nova Scotia","Nuevo Leon","Nunavut","Oaxaca","Ohio","Oklahoma","Ontario","Oregon","Pennsylvania","Prince Edward Island","Puebla","Quebec","Queretaro","Quintana Roo","Rhode Island","San Luis Potosi","Saskatchewan","Sinaloa","Sonora","South Carolina","South Dakota","Tabasco","Tamaulipas","Tennessee","Texas","Tlaxcala","Utah","Veracruz de Ignacio de la Llave","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Yucatan","Yukon","Zacatecas"
0,71,0,0,212,349,0,0,0,556,0,0,0,0,0,697,4,0,0,0,0,0,455,357,0,0,5,0,3,433,122,275,0,2834406,52,170,20,0,66,53,268,0,198,34,99778,35,0,0,2113,86,0,30,94,114,212,0,142,34,0,0,0,0,0,185,5851,0,24,154,0,0,0,0,0,10,0,0,0,0,103,95,0,0,199,1995,0,36,0,0,133,170,30,137,29,0,0,0
0,614,77,0,56,252,0,0,0,213,0,0,0,0,0,182,64,47,21,0,0,0,1274,903,0,0,10,0,3,4131,52327,41,0,59,4387012,171,7,0,134,101,661,0,95,324,672,5,0,0,42,46,0,22,151,18,368,0,554,0,0,0,0,0,0,39877,69,0,29,321,0,0,0,0,0,19,0,0,0,0,254,29,0,0,33444,618,0,40,0,10,1871,130,4577,109,31,0,0,0
0,2961,48,0,218,2800,0,0,0,872,0,0,0,0,0,235,63,16,11,0,0,0,3527,952,0,0,10,0,42,315,220,108,0,100,152,4615250,271,0,171,119,241,0,22,21813,475,21,0,0,7,88,0,59,110,232,584,0,507,0,0,0,0,0,0,150,430,0,45,246,0,0,0,0,0,8,0,0,0,0,154,10,0,0,800,18449,0,185,0,5,132,110,32,85,17,0,0,0
0,37,0,0,41,0,0,0,0,169,0,0,0,0,0,6,302,0,0,0,0,0,370,21,0,0,0,0,0,45,29,2,0,0,23,0,1336072,0,81,1521,36,0,26,0,29,10,0,0,0,0,152,6729,177,0,493,0,159,0,0,0,0,0,0,59,0,0,33,180,0,0,11,0,0,127,0,0,0,0,83,0,0,0,76,162,0,25,0,193,50,2,0,34,9,0,0,0
0,0,0,840,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384207,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,180,0,9,0,80,0,0,0,0,0,1840,0,0,0,0,160,0,0,0,0,3940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,140,4,0,95,77,0,0,0,674,0,0,0,0,0,150,340,21350,43173,0,0,0,2581,1083,0,0,97,0,0,390,318,19,0,62,185,136,105,0,5676601,670,394,0,158,141,221,5,0,0,24,62,0,121,2682,24,1861,0,1708,33,0,0,0,0,0,644,33,0,29,58969,0,0,0,0,0,89,0,0,0,0,518,3,0,0,278,1232,0,74,0,33,71356,233,21785,99,0,0,0,0
0,269,0,0,184,100,0,0,0,1180,0,0,0,0,0,304,21636,148,241,0,0,0,2496,716,0,0,46,0,85,629,194,77,0,37,169,210,5022,0,777,6898225,328,0,269,13,87,48,0,0,147,109,0,85262,1522,16,6235,0,650,0,0,0,0,0,0,470,95,0,104,1589,0,0,0,0,0,65434,0,0,0,0,222,15,0,0,200,747,0,235,0,2861,846,382,91,167,11,0,0,0
0,349,30,0,605,103,0,0,0,873,0,0,0,0,0,392,232,18,63,0,0,0,2987,896,0,0,24,0,19,2236,9744,194,0,94,521,259,53,0,267,209,9996665,0,372,123,388,30,0,0,35,125,0,60,385,29,710,0,506,10,0,0,0,0,0,12577,103,446,126,819,0,0,0,0,0,15,0,0,0,0,244,2,0,0,639,1307,0,80,0,38,361,325,61,5236,14,0,0,0
100,0,0,0,0,0,70,0,0,0,0,270,50,40,1630,0,0,0,0,580,30,3630,0,0,7520,6280,0,590,0,0,0,0,9100,0,0,0,0,0,0,0,0,4662356,0,0,0,0,170,80,0,0,0,0,0,0,0,0,0,0,0,0,80,0,470,0,0,0,0,0,0,690,0,580,10,0,180,0,50,90,0,0,60,40,0,0,570,0,840,0,0,0,0,0,0,60,0,70
0,226,17,0,756,118,0,0,0,895,0,0,0,0,0,407,102,123,20,0,0,0,1087,740,0,0,41,0,15,1075,386,5256,0,156,167,91,64,28,253,206,904,0,5637028,250,650,114,0,0,199,94,0,79,226,77,540,0,261,11052,0,0,0,0,0,688,145,109,124,617,0,0,0,0,0,22,0,0,0,0,93,2103,0,0,462,1180,0,172,0,5,152,311,93,50589,13,0,0,0
